-874402.922137829,-876734.470946616,0
-874410.811734247,-876715.997187092,nan
-874418.700047989,-876697.522767555,0
-874427.294796785,-876679.523429607,0
-874435.065658389,-876661.165370837,nan
-874442.836939855,-876642.808050162,nan
-874450.017796305,-876623.859153829,nan
-874457.671780758,-876605.618067337,nan
-874464.619213235,-876586.90280296,nan
-874472.271570924,-876568.661036393,nan
-874479.218442675,-876549.945580383,nan
-874486.047302677,-876531.345942213,nan
-874492.287381436,-876512.156199838,nan
-874499.116295485,-876493.557318837,nan
-874505.827363206,-876475.074107572,nan
-874511.949629321,-876456.000819628,nan
-874517.954661746,-876437.044148769,nan
-874523.95871292,-876418.08655885,nan
-874529.96302184,-876399.12990344,nan
-874535.85041563,-876380.289563866,nan
-874541.14726168,-876360.857814539,nan
-874546.91707956,-876342.134116872,nan
-874552.097263818,-876322.819649146,nan
-874557.159611356,-876303.620898467,nan
-874562.222215557,-876284.423103431,nan
-874567.167918743,-876265.341649589,nan
-874572.113264111,-876246.260226007,nan
-874577.057479085,-876227.178058657,nan
-874581.295789454,-876207.622735971,nan
-874586.006694228,-876188.77434691,nan
-874590.244430855,-876169.218959611,nan
-874594.24767495,-876149.895783167,nan
-874598.368006503,-876130.456961667,nan
-874602.254633632,-876111.251128272,nan
-874606.374243565,-876091.812405716,nan
-874609.670621775,-876072.016150109,nan
-874613.43874137,-876052.926173876,nan
-874616.617732819,-876033.246515978,nan
-874620.385921465,-876014.157425682,nan
-874623.447539121,-875994.594367781,nan
-874626.508798799,-875975.031378415,nan
-874629.453050713,-875955.584930794,nan
-874632.396330003,-875936.137625989,nan
-874635.223231728,-875916.807791052,nan
-874637.460180782,-875896.887572181,nan
-874640.169740513,-875877.674359698,nan
-874642.289491015,-875857.870626356,nan
-874644.408731615,-875838.067131525,nan
-874647.000617768,-875818.970622196,nan
-874649.002678108,-875799.283615045,nan
-874650.297959034,-875779.122913613,nan
-874652.066063872,-875759.669039447,nan
-874653.832901702,-875740.214631596,nan
-874654.89403586,-875720.28702128,nan
-874656.544343503,-875700.950046423,nan
-874657.4881712,-875681.139110409,nan
-874658.315043484,-875661.444753994,nan
-874659.14142341,-875641.750653027,nan
-874659.967616642,-875622.056502199,nan
-874660.676867583,-875602.478931538,nan
-874661.269031236,-875583.018093986,nan
-874661.86101862,-875563.557206967,nan
-874661.746351667,-875543.622575892,nan
-874662.221084476,-875524.278379789,nan
-874661.989160297,-875504.460453333,nan
-874661.873491459,-875484.52616627,nan
-874661.52431674,-875464.824951133,nan
-874661.174815553,-875445.123852831,nan
-874660.708408697,-875425.539348736,nan
-874660.241680613,-875405.954961378,nan
-874659.774631301,-875386.370690759,nan
-874659.190689367,-875366.903014052,nan
-874658.016637366,-875346.845195422,nan
-874657.315491004,-875327.494235344,nan
-874656.025000448,-875307.553919598,nan
-874655.323226241,-875288.203198821,nan
-874653.91491701,-875268.378685435,nan
-874653.212517534,-875249.028203892,nan
-874651.686870184,-875229.320571043,nan
-874650.277460698,-875209.496590778,nan
-874649.341181113,-875190.379270252,nan
-874648.04768989,-875170.439065684,nan
-874646.4042477,-875150.848416866,nan
-874644.877038182,-875131.141420947,nan
-874643.349668824,-875111.434400942,nan
-874641.705299388,-875091.844137004,nan
-874640.060622615,-875072.254001223,nan
-874638.30003478,-875052.781088811,nan
-874636.538218982,-875033.307683276,nan
-874634.892625435,-875013.71793154,nan
-874633.013833723,-874994.361102704,nan
-874631.251111547,-874974.888080326,nan
-874628.781809699,-874954.941372587,nan
-874626.901966079,-874935.585084405,nan
-874625.021978217,-874916.228770821,nan
-874622.435101055,-874896.399093871,nan
-874620.55451612,-874877.043040577,nan
-874617.967808874,-874857.21440871,nan
-874615.853624949,-874838.091558518,nan
-874613.26554654,-874818.262424255,nan
-874611.150781091,-874799.139832631,nan
-874608.329271047,-874779.54375755,nan
-874605.623806254,-874759.831502327,nan
-874602.801708319,-874740.235702081,nan
-874600.452660922,-874721.346723731,nan
-874597.630759085,-874701.751965125,nan
-874594.69131115,-874682.273038995,nan
-874591.751423131,-874662.794401991,nan
-874588.694925293,-874643.432216604,nan
-874585.638145204,-874624.070166906,nan
-874582.464612954,-874604.824719848,nan
-874579.291576888,-874585.580180953,nan
-874575.643778375,-874565.628672712,nan
-874572.35294484,-874546.500101845,nan
-874569.061839317,-874527.371664995,nan
-874565.063965024,-874507.769825809,nan
-874561.655858423,-874488.758126225,nan
-874557.658208295,-874469.157342781,nan
-874554.133113447,-874450.262378042,nan
-874549.901249969,-874430.894028555,nan
-874546.259184646,-874412.115795238,nan
-874542.026792622,-874392.747724039,nan
-874537.678468106,-874373.49702882,nan
-874533.21282468,-874354.362008772,nan
-874529.45329059,-874335.700774722,nan
-874524.870552291,-874316.682641022,nan
-874520.403991596,-874297.548186921,nan
-874515.231422688,-874277.941165006,nan
-874510.53165166,-874259.039756484,nan
-874505.831481694,-874240.138637634,nan
-874501.014646536,-874221.354111929,nan
-874496.197722627,-874202.569569374,nan
-874491.264764379,-874183.902543184,nan
-874485.624411611,-874164.761270401,nan
-874480.573796437,-874146.210197536,nan
-874474.816561392,-874127.185657819,nan
-874469.649851128,-874108.752080366,nan
-874463.775748879,-874089.84426929,nan
-874458.375012607,-874071.643087121,nan
-874452.384060623,-874052.851999384,nan
-874446.277263164,-874034.178271513,nan
-874440.169472211,-874015.503906875,nan
-874434.535083476,-873997.536147184,nan
-874428.310472471,-873978.97849644,nan
-874421.970035771,-873960.538199055,nan
-874415.512233776,-873942.213706336,nan
-874409.054226539,-873923.889344948,nan
-874402.479637253,-873905.681557874,nan
-874395.7892467,-873887.591115547,nan
-874388.507696578,-873868.910188177,nan
-874381.699768237,-873850.93567268,nan
-874374.892422683,-873832.962056264,nan
-874367.967748135,-873815.104231228,nan
-874361.042887626,-873797.246530406,nan
-874353.295065447,-873779.031853682,nan
-874346.254250204,-873761.291611819,nan
-874338.505909963,-873743.077340753,nan
