X,Y,yr,doy,top,bed,thk
-859367.2303485287,-826310.9992028615,2014,84,647.1495,281.9595,365.19
-859371.6880483225,-826324.811278833,2014,84,647.6134,281.7234,365.88
-859376.2887503502,-826338.7899306834,2014,84,648.0757,282.1857,365.88
-859380.9037439196,-826352.753665968,2014,84,648.5291,282.6391,365.88
-859385.5407907979,-826366.536740619,2014,84,648.9664,282.3864,366.57
-859390.2487239174,-826380.5613899278,2014,84,649.4058,281.3958,368.01
-859394.9642909247,-826394.4203765688,2014,84,649.8312,281.1312,368.7
-859399.7729289623,-826408.3401955739,2014,84,650.2478,281.5478,368.7
-859404.5392813495,-826421.9885989451,2014,84,650.6496,282.6396,368.01
-859409.4408650292,-826435.9693321169,2014,84,651.0523,284.4823,366.57
-859414.3500930917,-826449.7843983592,2014,84,651.4401,284.8701,366.57
-859419.2880460738,-826463.5695459254,2014,84,653.0368,284.3468,368.69
-859424.2757990404,-826477.4605262332,2014,84,654.7158,284.5958,370.13
-859429.285629828,-826491.1708358078,2014,84,653.7574,284.3774,369.38
-859434.4240330883,-826505.0627321671,2014,84,654.0993,283.3393,370.76
-859439.4913230242,-826518.71320160106,2014,84,656.9623,281.9023,375.06
-859444.6661166169,-826532.4095041022,2014,84,658.4991,282.0491,376.45
-859449.8907103387,-826546.2116413399,2014,84,658.7922,284.4622,374.33
-859455.1373967263,-826559.8331014448,2014,84,659.0646,286.8646,372.2
-859460.419457484,-826573.575397007,2014,84,659.3211,287.8111,371.51
-859465.723616916,-826587.1370125612,2014,84,659.5555,287.3555,372.2
-859471.1563465244,-826600.8802202999,2014,84,659.7718,284.7618,375.01
-859476.5534719478,-826614.5027485654,2014,84,659.9679,283.4679,376.5
-859482.0226196407,-826628.0503511743,2014,84,660.1432,285.1832,374.96
-859487.5770531159,-826641.8245513801,2014,84,660.3037,285.2337,375.07
-859493.1181136471,-826655.297305059,2014,84,660.4419,285.4319,375.01
-859498.7089754354,-826668.8758960032,2014,84,661.7834,286.7734,375.01
